name,pt_min,pt_max,eta_min,eta_max,corr
Th0,5,25,1.4,1.72,0.9999999999999999
Th135,5,25,1.4,1.72,0.9552895383696124
Draftpaper,5,25,1.4,1.72,0.46884331253426215
Th0,5,25,1.72,2.04,1.0
Th135,5,25,1.72,2.04,0.9738681441996024
Draftpaper,5,25,1.72,2.04,0.7312191421085258
Th0,5,25,2.04,2.36,1.0
Th135,5,25,2.04,2.36,0.9847077237873194
Draftpaper,5,25,2.04,2.36,0.7658699707719859
Th0,5,25,2.36,2.68,0.9999999999999998
Th135,5,25,2.36,2.68,0.9656046014794958
Draftpaper,5,25,2.36,2.68,0.6570259403708903
Th0,5,25,2.68,3.0,1.0
Th135,5,25,2.68,3.0,0.8830611933670294
Draftpaper,5,25,2.68,3.0,0.5770615521827017
Th0,25,50,1.4,1.72,1.0
Th135,25,50,1.4,1.72,0.9666506479898901
Draftpaper,25,50,1.4,1.72,0.69365342483872
Th0,25,50,1.72,2.04,1.0
Th135,25,50,1.72,2.04,0.8882535065872125
Draftpaper,25,50,1.72,2.04,0.6225678177455028
Th0,25,50,2.04,2.36,1.0
Th135,25,50,2.04,2.36,0.9058728966385632
Draftpaper,25,50,2.04,2.36,0.6731624068013121
Th0,25,50,2.36,2.68,1.0
Th135,25,50,2.36,2.68,0.8767685796861592
Draftpaper,25,50,2.36,2.68,0.5855784756702753
Th0,25,50,2.68,3.0,0.9999999999999998
Th135,25,50,2.68,3.0,0.9218662184420839
Draftpaper,25,50,2.68,3.0,0.3749829919665203
Th0,0,100,1.4,1.72,1.0
Th135,0,100,1.4,1.72,0.9897771342238763
Draftpaper,0,100,1.4,1.72,0.8645238498049368
Th0,0,100,1.72,2.04,0.9999999999999999
Th135,0,100,1.72,2.04,0.9930224714398492
Draftpaper,0,100,1.72,2.04,0.9179602058006079
Th0,0,100,2.04,2.36,1.0
Th135,0,100,2.04,2.36,0.9948879787808677
Draftpaper,0,100,2.04,2.36,0.896536864558805
Th0,0,100,2.36,2.68,1.0
Th135,0,100,2.36,2.68,0.992441674468688
Draftpaper,0,100,2.36,2.68,0.902933493777953
Th0,0,100,2.68,3.0,0.9999999999999999
Th135,0,100,2.68,3.0,0.9835899819563414
Draftpaper,0,100,2.68,3.0,0.7699373752968691
