name,pt_min,pt_max,eta_min,eta_max,corr
v1,5,25,1.4,1.72,0.7470351130283702
v2,5,25,1.4,1.72,0.8021635044319272
Threshold0,5,25,1.4,1.72,0.9999999999999999
Threshold135,5,25,1.4,1.72,0.9325126659015195
v1,5,25,1.72,2.04,0.7818670396425226
v2,5,25,1.72,2.04,0.8325764518920874
Threshold0,5,25,1.72,2.04,1.0
Threshold135,5,25,1.72,2.04,0.9625037757036922
v1,5,25,2.04,2.36,0.7427251929619851
v2,5,25,2.04,2.36,0.7628268392231801
Threshold0,5,25,2.04,2.36,1.0
Threshold135,5,25,2.04,2.36,0.9555314113151563
v1,5,25,2.36,2.68,0.6721530166067543
v2,5,25,2.36,2.68,0.6522306111896417
Threshold0,5,25,2.36,2.68,1.0
Threshold135,5,25,2.36,2.68,0.9021073728335952
v1,5,25,2.68,3.0,0.5355276241060903
v2,5,25,2.68,3.0,0.5707270121505872
Threshold0,5,25,2.68,3.0,0.9999999999999998
Threshold135,5,25,2.68,3.0,0.8798333200424316
v1,25,50,1.4,1.72,0.5770066088963182
v2,25,50,1.4,1.72,0.6317777456983926
Threshold0,25,50,1.4,1.72,0.9999999999999999
Threshold135,25,50,1.4,1.72,0.8694408852525659
v1,25,50,1.72,2.04,0.660326082398547
v2,25,50,1.72,2.04,0.7171639100034318
Threshold0,25,50,1.72,2.04,1.0
Threshold135,25,50,1.72,2.04,0.9431701060705217
v1,25,50,2.04,2.36,0.618735211039543
v2,25,50,2.04,2.36,0.6885939064876677
Threshold0,25,50,2.04,2.36,0.9999999999999999
Threshold135,25,50,2.04,2.36,0.9466804050127791
v1,25,50,2.36,2.68,0.5041512714107137
v2,25,50,2.36,2.68,0.5401602538506722
Threshold0,25,50,2.36,2.68,1.0
Threshold135,25,50,2.36,2.68,0.8943294850137483
v1,25,50,2.68,3.0,0.42015399835001155
v2,25,50,2.68,3.0,0.43351929390600497
Threshold0,25,50,2.68,3.0,1.0
Threshold135,25,50,2.68,3.0,0.8490765807655479
v1,0,100,1.4,1.72,0.878987874372608
v2,0,100,1.4,1.72,0.9072041502315527
Threshold0,0,100,1.4,1.72,1.0
Threshold135,0,100,1.4,1.72,0.9775257131398155
v1,0,100,1.72,2.04,0.9159339535413352
v2,0,100,1.72,2.04,0.9398603978837289
Threshold0,0,100,1.72,2.04,0.9999999999999998
Threshold135,0,100,1.72,2.04,0.9917732487122412
v1,0,100,2.04,2.36,0.9074869927514594
v2,0,100,2.04,2.36,0.9358048055245847
Threshold0,0,100,2.04,2.36,1.0
Threshold135,0,100,2.04,2.36,0.9920455666506914
v1,0,100,2.36,2.68,0.8753007790285412
v2,0,100,2.36,2.68,0.8899976849300658
Threshold0,0,100,2.36,2.68,1.0
Threshold135,0,100,2.36,2.68,0.9877321281375137
v1,0,100,2.68,3.0,0.7951470996610812
v2,0,100,2.68,3.0,0.7988849804694068
Threshold0,0,100,2.68,3.0,1.0
Threshold135,0,100,2.68,3.0,0.9761380056848453
