name,pt_min,pt_max,eta_min,eta_max,corr
Th0,5,25,1.4,1.72,0.9999999999999999
Th135,5,25,1.4,1.72,0.9341904473835022
Draftpaper,5,25,1.4,1.72,0.7575112957978256
Th0,5,25,1.72,2.04,1.0
Th135,5,25,1.72,2.04,0.9646684618373594
Draftpaper,5,25,1.72,2.04,0.8069958898020545
Th0,5,25,2.04,2.36,1.0
Th135,5,25,2.04,2.36,0.9589840576118147
Draftpaper,5,25,2.04,2.36,0.7701065550813811
Th0,5,25,2.36,2.68,1.0
Th135,5,25,2.36,2.68,0.9174980835469587
Draftpaper,5,25,2.36,2.68,0.6477220628680476
Th0,5,25,2.68,3.0,1.0
Th135,5,25,2.68,3.0,0.891814554992592
Draftpaper,5,25,2.68,3.0,0.596913444465259
Th0,25,50,1.4,1.72,1.0
Th135,25,50,1.4,1.72,0.8711081424274412
Draftpaper,25,50,1.4,1.72,0.654662306232723
Th0,25,50,1.72,2.04,1.0
Th135,25,50,1.72,2.04,0.9496493909898813
Draftpaper,25,50,1.72,2.04,0.6913886304220024
Th0,25,50,2.04,2.36,1.0
Th135,25,50,2.04,2.36,0.9477000674242613
Draftpaper,25,50,2.04,2.36,0.71492293181212
Th0,25,50,2.36,2.68,1.0
Th135,25,50,2.36,2.68,0.9011107891255153
Draftpaper,25,50,2.36,2.68,0.5257031436287924
Th0,25,50,2.68,3.0,1.0
Th135,25,50,2.68,3.0,0.8468941382297974
Draftpaper,25,50,2.68,3.0,0.4218884391333402
Th0,0,100,1.4,1.72,1.0
Th135,0,100,1.4,1.72,0.9782750525496443
Draftpaper,0,100,1.4,1.72,0.9007407857009185
Th0,0,100,1.72,2.04,1.0
Th135,0,100,1.72,2.04,0.9928866939646663
Draftpaper,0,100,1.72,2.04,0.9353401631953076
Th0,0,100,2.04,2.36,0.9999999999999999
Th135,0,100,2.04,2.36,0.9933723638242723
Draftpaper,0,100,2.04,2.36,0.9368628618540431
Th0,0,100,2.36,2.68,0.9999999999999998
Th135,0,100,2.36,2.68,0.9877438998080307
Draftpaper,0,100,2.36,2.68,0.8923435807884789
Th0,0,100,2.68,3.0,0.9999999999999999
Th135,0,100,2.68,3.0,0.9773388330447643
Draftpaper,0,100,2.68,3.0,0.7883936988393165
