name,pt_min,pt_max,eta_min,eta_max,corr
Th0,5,25,1.4,1.72,0.9999999999999998
Th135,5,25,1.4,1.72,0.9198138426953975
Draftpaper,5,25,1.4,1.72,0.7509665104540777
Th0,5,25,1.72,2.04,0.9999999999999998
Th135,5,25,1.72,2.04,0.9596065576897653
Draftpaper,5,25,1.72,2.04,0.8298602676003736
Th0,5,25,2.04,2.36,1.0
Th135,5,25,2.04,2.36,0.9556343590149361
Draftpaper,5,25,2.04,2.36,0.7590112718223726
Th0,5,25,2.36,2.68,1.0
Th135,5,25,2.36,2.68,0.9069870288772343
Draftpaper,5,25,2.36,2.68,0.6320768506962899
Th0,5,25,2.68,3.0,1.0
Th135,5,25,2.68,3.0,0.879786304971688
Draftpaper,5,25,2.68,3.0,0.5590666021386381
Th0,25,50,1.4,1.72,0.9999999999999997
Th135,25,50,1.4,1.72,0.874454940580864
Draftpaper,25,50,1.4,1.72,0.6331059124758864
Th0,25,50,1.72,2.04,0.9999999999999999
Th135,25,50,1.72,2.04,0.9465893618132043
Draftpaper,25,50,1.72,2.04,0.7053557618161153
Th0,25,50,2.04,2.36,1.0
Th135,25,50,2.04,2.36,0.9331306163707296
Draftpaper,25,50,2.04,2.36,0.6873520669286323
Th0,25,50,2.36,2.68,1.0
Th135,25,50,2.36,2.68,0.8823953296724838
Draftpaper,25,50,2.36,2.68,0.5272814961016643
Th0,25,50,2.68,3.0,0.9999999999999999
Th135,25,50,2.68,3.0,0.8522083331311017
Draftpaper,25,50,2.68,3.0,0.4445421051655985
Th0,0,100,1.4,1.72,0.9999999999999998
Th135,0,100,1.4,1.72,0.9757902224048582
Draftpaper,0,100,1.4,1.72,0.899186767092208
Th0,0,100,1.72,2.04,1.0
Th135,0,100,1.72,2.04,0.991882415387083
Draftpaper,0,100,1.72,2.04,0.9350375563587172
Th0,0,100,2.04,2.36,1.0
Th135,0,100,2.04,2.36,0.9918320490430546
Draftpaper,0,100,2.04,2.36,0.9332889399029355
Th0,0,100,2.36,2.68,1.0
Th135,0,100,2.36,2.68,0.9868708788165406
Draftpaper,0,100,2.36,2.68,0.8916859486559386
Th0,0,100,2.68,3.0,0.9999999999999998
Th135,0,100,2.68,3.0,0.9750883937014894
Draftpaper,0,100,2.68,3.0,0.8032473562447717
