name,pt_min,pt_max,eta_min,eta_max,corr
Optimized_v1,5,25,1.4,1.72,0.7478509964950013
Optimized_v2,5,25,1.4,1.72,0.7500457069492869
Threshold0,5,25,1.4,1.72,0.9999999999999998
Threshold135,5,25,1.4,1.72,0.9254162143031676
Optimized_v1,5,25,1.72,2.04,0.8474225505621714
Optimized_v2,5,25,1.72,2.04,0.8719440194425668
Threshold0,5,25,1.72,2.04,0.9999999999999998
Threshold135,5,25,1.72,2.04,0.959649387183164
Optimized_v1,5,25,2.04,2.36,0.8114279483070889
Optimized_v2,5,25,2.04,2.36,0.7995369308196151
Threshold0,5,25,2.04,2.36,1.0
Threshold135,5,25,2.04,2.36,0.9549233006770014
Optimized_v1,5,25,2.36,2.68,0.7181025433526043
Optimized_v2,5,25,2.36,2.68,0.7041393460247175
Threshold0,5,25,2.36,2.68,1.0
Threshold135,5,25,2.36,2.68,0.9117336740922243
Optimized_v1,5,25,2.68,3.0,0.6230338277773401
Optimized_v2,5,25,2.68,3.0,0.6191969162693116
Threshold0,5,25,2.68,3.0,1.0
Threshold135,5,25,2.68,3.0,0.8843938654449824
Optimized_v1,25,50,1.4,1.72,0.5977344778304441
Optimized_v2,25,50,1.4,1.72,0.6290432157772472
Threshold0,25,50,1.4,1.72,0.9999999999999998
Threshold135,25,50,1.4,1.72,0.8916775381748704
Optimized_v1,25,50,1.72,2.04,0.7112390719916729
Optimized_v2,25,50,1.72,2.04,0.7344688407605654
Threshold0,25,50,1.72,2.04,0.9999999999999999
Threshold135,25,50,1.72,2.04,0.9462126958026338
Optimized_v1,25,50,2.04,2.36,0.6967204336361894
Optimized_v2,25,50,2.04,2.36,0.7391949069084379
Threshold0,25,50,2.04,2.36,1.0
Threshold135,25,50,2.04,2.36,0.948467584721532
Optimized_v1,25,50,2.36,2.68,0.6048744448805049
Optimized_v2,25,50,2.36,2.68,0.6113169995465129
Threshold0,25,50,2.36,2.68,1.0
Threshold135,25,50,2.36,2.68,0.9012772311524327
Optimized_v1,25,50,2.68,3.0,0.49588656971791895
Optimized_v2,25,50,2.68,3.0,0.4911653986346034
Threshold0,25,50,2.68,3.0,0.9999999999999999
Threshold135,25,50,2.68,3.0,0.8525950352171748
Optimized_v1,0,100,1.4,1.72,0.8721562525819956
Optimized_v2,0,100,1.4,1.72,0.8772447337822056
Threshold0,0,100,1.4,1.72,0.9999999999999998
Threshold135,0,100,1.4,1.72,0.9791375158802748
Optimized_v1,0,100,1.72,2.04,0.9316986559933977
Optimized_v2,0,100,1.72,2.04,0.9385305915334433
Threshold0,0,100,1.72,2.04,0.9999999999999999
Threshold135,0,100,1.72,2.04,0.992353341702932
Optimized_v1,0,100,2.04,2.36,0.9477035458989517
Optimized_v2,0,100,2.04,2.36,0.9533857100171743
Threshold0,0,100,2.04,2.36,1.0
Threshold135,0,100,2.04,2.36,0.9925436873683049
Optimized_v1,0,100,2.36,2.68,0.926258423738631
Optimized_v2,0,100,2.36,2.68,0.9216484638987333
Threshold0,0,100,2.36,2.68,1.0
Threshold135,0,100,2.36,2.68,0.988015033202466
Optimized_v1,0,100,2.68,3.0,0.8639718980859141
Optimized_v2,0,100,2.68,3.0,0.8529850373854047
Threshold0,0,100,2.68,3.0,0.9999999999999998
Threshold135,0,100,2.68,3.0,0.9775173528125037
